Sale ID,Receipt Number,Date,Cashier,Branch,Meal,Dish,Product,Quantity,Price,Subtotal,Total Amount,Tax,Amount Paid,Change,Cash Type,Staff
67820,66182,2025-08-21,faith@techcity.co.zw,,,Pepsi coke,1,0.5,0.5,0.5,0.08,0.5,0.0,solid-cash,False
67821,66183,2025-08-21,faith@techcity.co.zw,,Small Chips,,2,1.0,2.0,2.0,0.3,2.0,0.0,solid-cash,False
67822,66184,2025-08-21,faith@techcity.co.zw,,Chicken Burger,,1,2.0,2.0,7.0,1.05,20.0,3.0,solid-cash,False
67822,66184,2025-08-21,faith@techcity.co.zw,,Beef Burger BB,,1,1.0,1.0,7.0,1.05,20.0,3.0,solid-cash,False
67822,66184,2025-08-21,faith@techcity.co.zw,,Small Chips,,2,1.0,2.0,7.0,1.05,20.0,3.0,solid-cash,False
67822,66184,2025-08-21,faith@techcity.co.zw,,,Fruta,2,1.0,2.0,7.0,1.05,20.0,3.0,solid-cash,False
67823,66185,2025-08-21,faith@techcity.co.zw,Goat Meat & Sadza,,,1,2.0,2.0,2.5,0.38,5.5,3.0,solid-cash,False
67823,66185,2025-08-21,faith@techcity.co.zw,,,Water,1,0.5,0.5,2.5,0.38,5.5,3.0,solid-cash,False
67824,66186,2025-08-21,faith@techcity.co.zw,Pork Stew & Rice,,,1,2.0,2.0,2.0,0.3,20.0,8.0,solid-cash,False
67825,66187,2025-08-21,faith@techcity.co.zw,Chicken Stew & Sadza,,,1,2.0,2.0,2.0,0.3,2.0,0.0,solid-cash,False
67826,66188,2025-08-21,faith@techcity.co.zw,,Small Chips,,1,1.0,1.0,1.0,0.15,1.0,0.0,solid-cash,False
67827,66189,2025-08-21,faith@techcity.co.zw,,,Water,2,0.5,1.0,3.0,0.45,3.0,0.0,solid-cash,False
67827,66189,2025-08-21,faith@techcity.co.zw,Chicken Stew & Sadza,,,1,2.0,2.0,3.0,0.45,3.0,0.0,solid-cash,False
67828,66190,2025-08-21,faith@techcity.co.zw,,Small Chips,,6,1.0,6.0,8.0,1.2,20.0,0.0,solid-cash,False
67828,66190,2025-08-21,faith@techcity.co.zw,Chicken Stew & Sadza,,,1,2.0,2.0,8.0,1.2,20.0,0.0,solid-cash,False
67829,66191,2025-08-21,faith@techcity.co.zw,,Small Chips,,1,1.0,1.0,3.0,0.45,10.0,7.0,solid-cash,False
67829,66191,2025-08-21,faith@techcity.co.zw,,Chicken Burger,,1,2.0,2.0,3.0,0.45,10.0,7.0,solid-cash,False
67830,66192,2025-08-21,faith@techcity.co.zw,,Beef Burger BB,,1,1.0,1.0,2.0,0.3,2.0,0.0,solid-cash,False
67830,66192,2025-08-21,faith@techcity.co.zw,,Hot Dog,,1,1.0,1.0,2.0,0.3,2.0,0.0,solid-cash,False
67831,66193,2025-08-21,faith@techcity.co.zw,Goat Meat & Sadza,,,1,2.0,2.0,2.0,0.3,10.0,8.0,solid-cash,False
67832,66194,2025-08-21,faith@techcity.co.zw,,Small Chips,,1,1.0,1.0,1.0,0.15,1.0,0.0,solid-cash,False
67833,66195,2025-08-21,faith@techcity.co.zw,,Sadza,,1,0.5,0.5,0.5,0.08,0.5,0.0,solid-cash,False
67834,66196,2025-08-21,faith@techcity.co.zw,,Small Chips,,1,1.0,1.0,1.0,0.15,1.0,0.0,solid-cash,False
67835,66197,2025-08-21,faith@techcity.co.zw,,Beef Burger BB,,1,1.0,1.0,1.0,0.15,1.0,0.0,solid-cash,False
67836,66198,2025-08-21,faith@techcity.co.zw,,Beef Burger BB,,1,1.0,1.0,1.0,0.15,1.0,0.0,solid-cash,False
67837,66199,2025-08-21,faith@techcity.co.zw,,Beef Burger BB,,2,1.0,2.0,3.0,0.45,10.0,5.0,solid-cash,False
67837,66199,2025-08-21,faith@techcity.co.zw,,Small Chips,,1,1.0,1.0,3.0,0.45,10.0,5.0,solid-cash,False
67838,66200,2025-08-21,faith@techcity.co.zw,Crumbed Chicken & Chips,,,1,3.0,3.0,3.0,0.45,3.0,0.0,solid-cash,False
67839,66201,2025-08-21,faith@techcity.co.zw,,Beef Burger BB,,1,1.0,1.0,1.0,0.15,1.0,0.0,solid-cash,False
